sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,status,gender_M,ssc_b_Others,hsc_b_Others,hsc_s_Commerce,hsc_s_Science,degree_t_Others,degree_t_Sci&Tech,workex_Yes,specialisation_Mkt&HR
44,87.0,87.0,68.0,95.0,62.9,1,True,True,True,True,False,False,False,False,True
45,77.0,73.0,81.0,89.0,69.7,1,False,True,True,True,False,False,False,True,False
46,76.0,64.0,72.0,58.0,66.53,0,False,False,False,False,True,False,True,False,True
47,70.89,71.98,65.6,68.0,71.63,0,False,True,True,False,True,False,False,False,True
48,63.0,60.0,57.0,78.0,54.55,1,True,False,False,True,False,False,False,True,False
49,63.0,62.0,68.0,64.0,62.46,1,True,True,True,True,False,False,False,False,False
50,50.0,37.0,52.0,65.0,56.11,0,False,True,True,False,False,True,False,False,True
51,75.2,73.2,68.4,65.0,62.98,1,False,False,False,False,True,False,False,False,True
52,54.4,61.12,56.2,67.0,62.65,0,True,False,False,True,False,False,False,False,True
53,40.89,45.83,53.0,71.2,65.49,0,False,True,True,True,False,False,False,False,True
54,80.0,70.0,72.0,87.0,71.04,1,True,True,True,False,True,False,True,False,True
55,74.0,60.0,69.0,78.0,65.56,1,False,False,True,False,True,False,False,False,True
56,60.4,66.6,65.0,71.0,52.71,1,True,False,True,False,True,False,False,False,True
57,63.0,71.4,61.4,68.0,66.88,1,True,True,True,True,False,False,False,False,False
58,68.0,76.0,74.0,80.0,63.59,1,True,False,False,True,False,False,False,False,False
59,74.0,62.0,68.0,74.0,57.99,1,True,False,True,False,True,False,False,False,False
60,52.6,65.58,72.11,57.6,56.66,1,True,False,True,False,True,False,True,False,False
61,74.0,70.0,72.0,60.0,57.24,1,True,False,False,False,True,False,False,True,False
62,84.2,73.4,66.89,61.6,62.48,1,True,False,False,True,False,False,False,False,False
63,86.5,64.2,67.4,59.0,59.69,1,False,True,True,False,True,False,True,False,False
64,61.0,70.0,64.0,68.5,59.5,0,True,True,True,True,False,False,False,False,True
65,80.0,73.0,75.0,61.0,58.78,1,True,True,True,True,False,False,False,False,False
66,54.0,47.0,57.0,89.69,57.1,0,True,True,True,False,True,False,False,False,True
67,83.0,74.0,66.0,68.92,58.46,1,True,True,True,False,True,False,False,False,True
68,80.92,78.5,67.0,68.71,60.99,1,True,True,True,True,False,False,False,False,False
69,69.7,47.0,72.7,79.0,59.24,0,False,False,False,True,False,False,True,False,True
70,73.0,73.0,66.0,70.0,68.07,1,True,False,False,False,True,False,True,True,False
71,82.0,61.0,62.0,89.0,65.45,1,True,True,True,False,True,False,True,False,False
72,75.0,70.29,71.0,95.0,66.94,1,True,True,True,True,False,False,False,False,False
73,84.86,67.0,78.0,95.5,68.53,1,True,True,True,False,True,False,False,False,False
74,64.6,83.83,71.72,86.0,59.75,1,True,False,True,True,False,False,False,False,False
75,56.6,64.8,70.2,84.27,67.2,1,True,False,False,True,False,False,False,False,False
76,59.0,62.0,77.5,74.0,67.0,0,False,False,True,True,False,False,False,False,True
77,66.5,70.4,71.93,61.0,64.27,1,False,True,False,False,False,False,False,False,False
78,64.0,80.0,65.0,69.0,57.65,1,True,True,True,False,True,False,True,True,False
79,84.0,90.9,64.5,86.04,59.42,1,True,True,True,False,True,False,True,False,False
80,69.0,62.0,66.0,75.0,67.99,0,False,False,False,False,True,False,True,False,True
81,69.0,62.0,69.0,67.0,62.35,1,False,True,True,True,False,False,False,True,True
82,81.7,63.0,67.0,86.0,70.2,1,True,True,True,False,True,False,False,True,False
83,63.0,67.0,74.0,82.0,60.44,0,True,False,False,True,False,False,False,False,False
84,84.0,79.0,68.0,84.0,66.69,1,True,True,True,False,True,False,True,True,False
85,70.0,63.0,70.0,55.0,62.0,1,True,False,True,False,True,False,True,True,False
86,83.84,89.83,77.2,78.74,76.18,1,False,True,True,True,False,False,False,True,False
87,62.0,63.0,64.0,67.0,57.03,1,True,True,True,True,False,False,False,False,False
88,59.6,51.0,60.0,75.0,59.08,0,True,False,False,False,True,True,False,False,True
89,66.0,62.0,73.0,58.0,64.36,1,False,False,False,True,False,False,False,False,True
90,84.0,75.0,69.0,62.0,62.36,1,False,True,True,False,True,False,True,True,True
91,85.0,90.0,82.0,92.0,68.03,1,False,True,True,True,False,False,False,False,False
92,52.0,57.0,50.8,67.0,62.79,0,True,False,False,True,False,False,False,False,True
93,60.23,69.0,66.0,72.0,59.47,1,False,False,False,False,True,False,False,False,False
94,52.0,62.0,54.0,72.0,55.41,0,True,False,False,True,False,False,False,False,True
95,58.0,62.0,64.0,53.88,54.97,1,True,False,False,True,False,False,False,False,False
96,73.0,78.0,65.0,95.46,62.16,1,True,False,True,True,False,False,False,True,False
97,76.0,70.0,76.0,66.0,64.44,1,False,False,False,False,True,False,False,True,False
98,70.5,62.5,61.0,93.91,69.03,0,False,False,True,True,False,False,False,False,False
99,69.0,73.0,65.0,70.0,57.31,1,False,False,False,True,False,False,False,False,False
100,54.0,82.0,63.0,50.0,59.47,0,True,False,True,True,False,False,True,False,False
101,45.0,57.0,58.0,56.39,64.95,0,False,True,True,True,False,False,False,True,True
102,63.0,72.0,68.0,78.0,60.44,1,True,False,False,True,False,False,False,False,True
103,77.0,61.0,68.0,57.5,61.31,1,False,True,True,True,False,False,False,True,False
104,73.0,78.0,73.0,85.0,65.83,1,True,False,False,False,True,False,True,True,True
105,69.0,63.0,65.0,55.0,58.23,1,True,False,True,False,True,False,False,True,True
106,59.0,64.0,58.0,85.0,55.3,0,True,False,True,False,True,False,True,False,True
107,61.08,50.0,54.0,71.0,65.69,0,True,True,True,False,True,False,True,False,False
108,82.0,90.0,83.0,80.0,73.52,1,True,True,True,True,False,False,False,False,True
109,61.0,82.0,69.0,84.0,58.31,1,True,False,False,True,False,False,False,False,False
110,52.0,63.0,65.0,86.0,56.09,0,True,False,True,False,True,False,True,True,True
111,69.5,70.0,72.0,57.2,54.8,1,False,False,False,False,True,False,True,False,True
112,51.0,54.0,61.0,60.0,60.64,0,True,True,True,False,True,False,True,False,True
113,58.0,61.0,61.0,58.0,53.94,1,True,True,True,True,False,False,False,False,True
114,73.96,79.0,67.0,72.15,63.08,1,False,True,True,True,False,False,False,False,False
115,65.0,68.0,69.0,53.7,55.01,1,True,False,True,False,True,False,False,False,True
116,73.0,63.0,66.0,89.0,60.5,1,False,True,True,False,True,False,False,False,False
117,68.2,72.8,66.6,96.0,70.85,1,True,False,False,True,False,False,False,True,False
118,77.0,75.0,73.0,80.0,67.05,1,True,True,True,False,True,False,True,False,False
119,76.0,80.0,78.0,97.0,70.48,1,True,False,False,False,True,False,True,True,True
120,60.8,68.4,64.6,82.66,64.34,1,True,False,False,True,False,False,False,True,False
121,58.0,40.0,59.0,73.0,58.81,0,True,True,True,False,True,False,False,False,True
122,64.0,67.0,69.6,55.67,71.49,1,False,False,True,False,True,False,True,True,True
123,66.5,66.8,69.3,80.4,71.0,1,False,False,False,False,False,False,False,True,False
124,74.0,59.0,73.0,60.0,56.7,1,True,True,True,True,False,False,False,True,True
125,67.0,71.0,64.33,64.0,61.26,1,True,False,False,False,True,True,False,True,True
126,84.0,73.0,73.0,75.0,73.33,1,False,False,False,True,False,False,False,False,False
127,79.0,61.0,75.5,70.0,68.2,1,False,True,True,False,True,False,True,True,False
128,72.0,60.0,69.0,55.5,58.4,1,False,True,True,False,True,False,False,False,True
129,80.4,73.4,77.72,81.2,76.26,1,True,False,False,False,True,False,True,True,True
130,76.7,89.7,66.0,90.0,68.55,1,True,False,True,True,False,False,False,True,False
131,62.0,65.0,60.0,84.0,64.15,0,True,False,True,True,False,False,False,False,False
132,74.9,57.0,62.0,80.0,60.78,1,False,True,True,False,True,True,False,True,False
133,67.0,68.0,64.0,74.4,53.49,1,True,True,True,True,False,False,False,True,True
134,73.0,64.0,77.0,65.0,60.98,1,True,False,True,True,False,False,False,True,True
135,77.44,92.0,72.0,94.0,67.13,1,False,False,True,True,False,False,False,True,False
136,72.0,56.0,69.0,55.6,65.63,1,False,False,True,False,True,False,False,False,True
137,47.0,59.0,64.0,78.0,61.58,0,False,False,False,False,False,False,False,False,False
138,67.0,63.0,72.0,56.0,60.41,1,True,True,False,True,False,False,False,False,True
139,82.0,64.0,73.0,96.0,71.77,1,False,True,True,False,True,False,True,True,False
140,77.0,70.0,59.0,58.0,54.43,1,True,False,False,True,False,False,False,True,False
141,65.0,64.8,69.5,56.0,56.94,1,True,False,True,True,False,False,False,True,False
142,66.0,64.0,60.0,60.0,61.9,0,True,False,False,False,True,False,False,False,True
143,85.0,60.0,73.43,60.0,61.29,1,True,False,True,False,True,False,True,True,False
144,77.67,64.89,70.67,89.0,60.39,1,True,True,True,True,False,False,False,False,False
145,52.0,50.0,61.0,60.0,58.52,0,True,True,True,False,False,False,False,False,False
146,89.4,65.66,71.25,72.0,63.23,1,True,True,True,False,True,False,True,False,True
147,62.0,63.0,66.0,85.0,55.14,1,True,False,True,False,True,False,False,False,True
148,70.0,74.0,65.0,83.0,62.28,1,True,False,False,True,False,False,False,False,False
149,77.0,86.0,56.0,57.0,64.08,1,False,False,False,False,False,True,False,False,False
150,44.0,58.0,55.0,64.25,58.54,0,True,False,False,False,False,False,False,True,True
151,71.0,58.66,58.0,56.0,61.3,1,True,False,False,False,True,False,True,True,False
152,65.0,65.0,75.0,83.0,58.87,1,True,False,False,True,False,False,False,False,False
153,75.4,60.5,84.0,98.0,65.25,1,False,True,False,False,True,False,True,False,False
154,49.0,59.0,65.0,86.0,62.48,1,True,True,True,False,True,False,True,True,False
155,53.0,63.0,60.0,70.0,53.2,1,True,False,True,False,True,False,False,True,False
156,51.57,74.66,59.9,56.15,65.99,0,True,True,True,True,False,False,False,True,True
157,84.2,69.4,65.0,80.0,52.72,1,True,False,False,False,True,False,True,True,True
158,66.5,62.5,60.9,93.4,55.03,1,True,False,False,True,False,False,False,False,False
159,67.0,63.0,64.0,60.0,61.87,0,True,True,True,False,True,False,True,False,False
160,52.0,49.0,58.0,62.0,60.59,0,True,False,True,True,False,False,False,False,True
161,87.0,74.0,65.0,75.0,72.29,1,True,False,False,False,True,False,True,True,True
162,55.6,51.0,57.5,57.63,62.72,0,True,True,True,True,False,False,False,False,True
163,74.2,87.6,77.25,75.2,66.06,1,True,False,True,True,False,False,False,True,False
164,63.0,67.0,64.0,75.0,66.46,1,True,True,True,False,True,False,True,False,False
165,67.16,72.5,63.35,53.04,65.52,1,False,False,False,True,False,False,False,False,False
166,63.3,78.33,74.0,80.0,74.56,0,False,False,True,True,False,False,False,False,False
167,62.0,62.0,60.0,63.0,52.38,1,True,True,True,True,False,False,False,True,True
168,67.9,62.0,67.0,58.1,75.71,0,True,True,True,False,True,False,True,True,False
169,48.0,51.0,58.0,60.0,58.79,0,False,False,False,True,False,False,False,True,True
170,59.96,42.16,61.26,54.48,65.48,0,True,True,True,False,True,False,True,False,True
171,63.4,67.2,60.0,58.06,69.28,0,False,True,True,True,False,False,False,False,True
172,80.0,80.0,72.0,63.79,66.04,1,True,True,True,True,False,False,False,True,False
173,73.0,58.0,56.0,84.0,52.64,1,True,True,True,True,False,False,False,False,True
174,52.0,52.0,55.0,67.0,59.32,0,False,True,True,False,True,False,True,False,True
175,73.24,50.83,64.27,64.0,66.23,1,True,True,True,False,True,False,True,True,False
176,63.0,62.0,65.0,87.5,60.69,0,True,True,True,False,True,False,True,False,True
177,59.0,60.0,56.0,55.0,57.9,1,False,False,True,True,False,False,False,False,True
178,73.0,97.0,79.0,89.0,70.81,1,False,False,True,True,False,False,False,True,False
179,68.0,56.0,68.0,73.0,68.07,1,True,True,True,False,True,False,True,False,True
180,77.8,64.0,64.2,75.5,72.14,0,False,False,False,False,True,False,True,False,True
181,65.0,71.5,62.8,57.0,56.6,1,True,False,True,True,False,False,False,True,False
182,62.0,60.33,64.21,63.0,60.02,0,True,False,True,False,True,False,True,False,True
183,52.0,65.0,57.0,75.0,59.81,0,True,True,True,False,False,True,False,True,False
184,65.0,77.0,69.0,60.0,61.82,1,True,False,False,True,False,False,False,False,True
185,56.28,62.83,59.79,60.0,57.29,0,False,True,True,True,False,False,False,False,True
186,88.0,72.0,78.0,82.0,71.43,1,False,False,False,False,True,True,False,False,True
187,52.0,64.0,61.0,55.0,62.93,0,False,False,False,True,False,False,False,False,False
188,78.5,65.5,67.0,95.0,64.86,1,True,False,False,False,True,False,True,True,False
189,61.8,47.0,54.38,57.0,56.13,0,True,True,True,True,False,False,False,False,False
190,54.0,77.6,69.2,95.65,66.94,0,False,False,True,True,False,False,False,False,False
191,64.0,70.2,61.0,50.0,62.5,0,False,True,False,True,False,False,False,False,False
192,67.0,61.0,72.0,72.0,61.01,1,True,True,False,False,True,False,False,False,False
193,65.2,61.4,64.8,93.4,57.34,1,True,False,False,True,False,False,False,True,False
194,60.0,63.0,56.0,80.0,56.63,1,False,False,False,False,False,True,False,True,True
195,52.0,55.0,56.3,59.0,64.74,0,True,True,True,True,False,False,False,False,False
196,66.0,76.0,72.0,84.0,58.95,1,True,False,False,True,False,False,False,True,True
197,72.0,63.0,77.5,78.0,54.48,1,True,True,True,False,True,False,True,True,False
198,83.96,53.0,91.0,59.32,69.71,1,False,True,True,False,True,False,True,False,True
199,67.0,70.0,65.0,88.0,71.96,0,False,False,False,True,False,True,False,False,True
200,69.0,65.0,57.0,73.0,55.8,1,True,True,True,True,False,False,False,False,True
201,69.0,60.0,65.0,87.55,52.81,1,True,True,True,True,False,False,False,False,False
202,54.2,63.0,58.0,79.0,58.44,0,True,False,True,False,True,False,False,False,True
203,70.0,63.0,66.0,61.28,60.11,1,True,False,False,False,True,False,True,False,True
204,55.68,61.33,56.87,66.0,58.3,1,True,True,True,True,False,False,False,False,True
205,74.0,73.0,73.0,80.0,67.69,1,False,True,True,True,False,False,False,True,False
206,61.0,62.0,65.0,62.0,56.81,1,True,True,True,True,False,False,False,False,False
207,41.0,42.0,60.0,97.0,53.39,0,True,False,False,False,True,False,False,False,False
208,83.33,78.0,61.0,88.56,71.55,1,True,False,True,True,False,False,False,True,False
209,43.0,60.0,65.0,92.66,62.92,0,False,False,True,False,True,False,False,False,True
210,62.0,72.0,65.0,67.0,56.49,1,True,False,False,True,False,False,False,False,False
211,80.6,82.0,77.6,91.0,74.49,1,True,True,True,True,False,False,False,False,False
212,58.0,60.0,72.0,74.0,53.62,1,True,True,True,False,True,False,True,False,False
213,67.0,67.0,73.0,59.0,69.72,1,True,True,True,True,False,False,False,True,False
214,74.0,66.0,58.0,70.0,60.23,1,False,True,True,True,False,False,False,False,True
215,62.0,58.0,53.0,89.0,60.22,0,True,False,True,False,True,False,False,False,True
